approach,aspect,accuracy,precision,recall,f1,mse,threshold,tp,tn,fp,fn,eval_split,specificity,balanced_accuracy,mcc
distilbert-base-uncased,accessibility,0.446064139941691,0.1642857142857142,0.7040816326530612,0.2664092664092664,0.5513513612483317,0.4999999999999999,69,237,351,29,synthetic_overlap_test,0.4030612244897959,0.5535714285714286,0.07694837640638656
distilbert-base-uncased,assessment_design,0.9096209912536444,0.9230769230769232,0.3789473684210526,0.5373134328358209,0.4198929710934559,0.75,36,588,3,59,synthetic_overlap_test,0.9949238578680203,0.6869356131445364,0.5576903653595484
distilbert-base-uncased,exam_fairness,0.8833819241982507,0.8166666666666667,0.4152542372881356,0.550561797752809,0.5036674641791511,0.65,49,557,11,69,synthetic_overlap_test,0.9806338028169014,0.6979440200525184,0.528840566156626
distilbert-base-uncased,grading_transparency,0.8950437317784257,0.8148148148148148,0.4150943396226415,0.55,0.4224017021770123,0.6,44,570,10,62,synthetic_overlap_test,0.9827586206896551,0.6989264801561483,0.5339912051358257
distilbert-base-uncased,lecturer_quality,0.8119533527696793,0.408695652173913,0.4351851851851852,0.42152466367713,0.4442650438187287,0.7,47,510,68,61,synthetic_overlap_test,0.8823529411764706,0.6587690631808278,0.3096026722698424
distilbert-base-uncased,materials,0.9081632653061223,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.3416953063303871,0.7999999999999999,35,588,14,49,synthetic_overlap_test,0.9767441860465116,0.6967054263565892,0.5007448238897287
distilbert-base-uncased,organization,0.8731778425655977,0.7619047619047619,0.2935779816513761,0.423841059602649,0.3216640155187633,0.7,32,567,10,77,synthetic_overlap_test,0.9826689774696707,0.6381234795605235,0.42124143420969523
distilbert-base-uncased,overall_experience,0.3819241982507289,0.176,0.88,0.2933333333333333,0.6659692046622777,0.3999999999999999,88,174,412,12,synthetic_overlap_test,0.29692832764505117,0.5884641638225256,0.1404444902789684
distilbert-base-uncased,workload,0.89067055393586,0.6984126984126984,0.44,0.5398773006134969,0.3515172496342778,0.75,44,567,19,56,synthetic_overlap_test,0.9675767918088737,0.7037883959044369,0.4980167576095954
distilbert-base-uncased,accessibility,0.2824319547543301,0.0127015144113336,0.7428571428571429,0.0249759846301633,0.6103633043821901,0.4999999999999999,26,773,2021,9,real_herath_mapped,0.27666428060128845,0.5097607117292157,0.0048249898875848875
distilbert-base-uncased,assessment_design,0.9056203605514316,0.2837837837837837,0.0893617021276595,0.1359223300970873,0.441848994033145,0.75,21,2541,53,214,real_herath_mapped,0.979568234387047,0.5344649682573532,0.11919283073724932
