bucket,seed,arch,target,micro_f1,macro_f1,macro_balanced_accuracy,sentiment_mse_detected,n_overlap_aspects
full,89,bert-base-uncased,herath,0.5163487738419619,0.2894662391071507,0.6006498219895203,0.3085566548832229,9
full,89,bert-base-uncased,edurabsa,0.33768732280275415,0.2858001353838476,0.5547995647494554,0.5840841898590505,7
full,89,distilbert-base-uncased,herath,0.41619371925841847,0.2994331151093077,0.5992402848291187,0.34355767669254444,9
full,89,distilbert-base-uncased,edurabsa,0.48042374751710437,0.32344489880781174,0.5454727454355148,0.58967822660881,7
full,101,bert-base-uncased,herath,0.42321231016795735,0.27907546547417217,0.5895158118385626,0.37558938026066835,9
full,101,bert-base-uncased,edurabsa,0.46507928617587113,0.3060885801393297,0.5425778540043054,0.43120832052127217,7
full,101,distilbert-base-uncased,herath,0.24613545136220003,0.2580362097693543,0.564319321466225,0.44481166529534366,9
full,101,distilbert-base-uncased,edurabsa,0.4593237659394855,0.31231190045527907,0.5524043236880979,0.4593969155791367,7
full,137,bert-base-uncased,herath,0.245643679374802,0.2038907573230981,0.5576809230262181,0.32603418310382504,9
full,137,bert-base-uncased,edurabsa,0.4792117891875823,0.31695937050826345,0.5464255233648442,0.4246717443490862,7
full,137,distilbert-base-uncased,herath,0.5213638325420803,0.3050868919951248,0.6038478302807065,0.40115122696780087,9
full,137,distilbert-base-uncased,edurabsa,0.44542597468784506,0.32456249453127695,0.5479319851392767,0.47324581499380153,7
bot25,42,bert-base-uncased,herath,0.32379047380922615,0.2765825702141517,0.5329837913006839,0.7673371075998452,9
bot25,42,bert-base-uncased,edurabsa,0.37125359059129587,0.32269996955822294,0.5162965233727614,0.9453117702502121,7
bot25,42,distilbert-base-uncased,herath,0.29210450207268873,0.264029320058228,0.5516718254423236,0.7212597787577377,9
bot25,42,distilbert-base-uncased,edurabsa,0.35541599652804373,0.31293762409907894,0.5080790820660375,0.9083607651372273,7
bot25,17,bert-base-uncased,herath,0.36784372652141245,0.2530910954196841,0.5184483255287073,0.9404357370359873,9
bot25,17,bert-base-uncased,edurabsa,0.43206320886963173,0.3282052333827546,0.5040477447964193,0.868585705651956,7
bot25,17,distilbert-base-uncased,herath,0.32680101922631455,0.252649641068895,0.5211255222473932,0.9486813689370757,9
bot25,17,distilbert-base-uncased,edurabsa,0.4266736814415362,0.35611317191463454,0.5225822912467446,0.8936300934070193,7
bot25,23,bert-base-uncased,herath,0.2408862553136674,0.2356906768712163,0.5112822664338843,0.6191215443118446,9
bot25,23,bert-base-uncased,edurabsa,0.2529395058222096,0.23034302165627848,0.5191327953054722,0.9484855387109871,7
bot25,23,distilbert-base-uncased,herath,0.3214511325692627,0.26100943494675644,0.5210602215145713,0.662717264100659,9
bot25,23,distilbert-base-uncased,edurabsa,0.3776950914929405,0.3034152634396866,0.5101588374332581,0.8351567081535208,7
bot25,41,bert-base-uncased,herath,0.3512603591160221,0.2614006677611911,0.5404342815802605,0.6623074208400902,9
bot25,41,bert-base-uncased,edurabsa,0.35435193505407,0.28911585396976697,0.5301221858446389,0.8443222202077949,7
bot25,41,distilbert-base-uncased,herath,0.3174687785561986,0.27641065361517986,0.5153106380643829,0.6797920707327257,9
bot25,41,distilbert-base-uncased,edurabsa,0.42504487284085873,0.34944458063823447,0.5150372769396623,0.8826721952354936,7
bot25,53,bert-base-uncased,herath,0.3493147296026916,0.2549108092741665,0.5133257365892182,0.6782651072059224,9
bot25,53,bert-base-uncased,edurabsa,0.42377197708017045,0.35554970779757594,0.523004861091443,0.8771860917187603,7
bot25,53,distilbert-base-uncased,herath,0.33353486497380086,0.2603761780609024,0.52415918869851,0.684770093272955,9
bot25,53,distilbert-base-uncased,edurabsa,0.4152188552188552,0.34796337032860947,0.50151681034166,0.8792098604053239,7
bot25,89,bert-base-uncased,herath,0.1941277744171979,0.17707893856721324,0.5222497346115796,0.6292068746309186,9
bot25,89,bert-base-uncased,edurabsa,0.41628676141950477,0.3572083467822673,0.5015889439594262,0.8646381075041456,7
bot25,89,distilbert-base-uncased,herath,0.16933760683760685,0.1806293765456889,0.5101702019798801,0.5728461514407963,9
bot25,89,distilbert-base-uncased,edurabsa,0.4114191256952666,0.38237070163591735,0.5055517040252309,0.8654960945150553,7
bot25,101,bert-base-uncased,herath,0.3427408882347849,0.2680361677725819,0.5132382758106733,0.6878550816842037,9
bot25,101,bert-base-uncased,edurabsa,0.30625792936594576,0.28164871707508515,0.5074345664892236,0.9811821900175343,7
bot25,101,distilbert-base-uncased,herath,0.321003435327954,0.26255773702959984,0.5096704050861952,0.7205217020616965,9
bot25,101,distilbert-base-uncased,edurabsa,0.38090941898231684,0.28165423466516454,0.5080935528086546,0.8441928412214382,7
